"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"KZU","KUVEYT TÜRK PORTFÖY İKİNCİ ALTIN KATILIM FONU","Katılım Şemsiye Fonu","1,3594","13,1415","37,4651","37,3288","-","-","-"
"KPA","KUVEYT TÜRK PORTFÖY KAR PAYI ÖDEYEN KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","0,8244","8,5184","4,4360","1,5684","-","-","-"
"KPD","KUVEYT TÜRK PORTFÖY KAR PAYI ÖDEYEN KATILIM SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","1,6040","5,1150","12,4324","12,0314","-","-","-"
"KME","KUVEYT TÜRK PORTFÖY TEMKİNLİ KATILIM FONU","Katılım Şemsiye Fonu","4,2566","-","-","-","-","-","-"
"MKA","MARMARA CAPİTAL PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-2,7722","0,6618","-","-","-","-","-"
"MHF","MT PORTFÖY BIST HALKA ARZ ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","2,3518","-","-","-","-","-","-"
"MBR","MT PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","3,4305","-","-","-","-","-","-"
"MD1","MT PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","3,0718","13,7648","17,3464","14,7600","-","-","-"
"MTH","MT PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-0,2196","3,2795","8,5450","4,5270","-","-","-"
"MTF","MT PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","2,5553","-","-","-","-","-","-"
"MT1","MT PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","1,0890","3,2304","-","-","-","-","-"
"MD2","MT PORTFÖY İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","1,1843","14,6776","-","-","-","-","-"
"MTK","MT PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-","-","-","-","-","-","-"
"MPL","MT PORTFÖY PARA PİYASASI (TL) FONU","Para Piyasası Şemsiye Fonu","3,8339","12,2080","25,3634","24,0664","-","-","-"
